id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
aave,aave,Aave,,60,77,0.148,-29.12747,-6.27789,-46.54166,-62.13667,2330215657,16000000.0,13514625.858775062,429266,15316
harmony,one,Harmony,,61,16,0.37,-44.60648,-3.64515,154.0351,537.61231,2277444328,13156044839.793139,11708128145.1007,349420,51848
pancakeswap-token,cake,PancakeSwap,,62,405,2.742,-31.21103,-33.37339,-45.33518,25.37336,2228642279,,268318126.300515,1478637,0
bittorrent-old,bttold,BitTorrent [OLD],Delegated Proof-of-Stake,63,506,0.304,-38.07262,-37.97808,-42.59881,48.97134,2106847046,990000000000.0,0.0,619465,36847
bittorrent,btt,BitTorrent,,64,236,0.304,0.0,0.0,0.0,0.0,2067458367,990000000000000.0,932497500000000.0,618525,36847
maker,mkr,Maker,,65,36,0.084,-5.78794,-10.46948,-27.08464,-13.87788,1918541514,977631.036950888,901310.9472893132,197411,32896
theta-fuel,tfuel,Theta Fuel,,66,226,0.079,26.40541,16.04483,-31.02246,279.6969,1886178774,5301200000.0,0.0,249088,27818
enjincoin,enj,Enjin Coin,,67,56,0.158,-21.05387,-14.2021,37.76439,282.07755,1856883322,1000000000.0,934340659.567558,504548,45083
bitcoin-cash-sv,bsv,Bitcoin SV,SHA-256,68,264,0.007,-14.69263,-23.2277,-32.12886,-59.40916,1827954735,21000000.0,18980651.644239,0,0
quant-network,qnt,Quant,Ethash,69,180,0.028,-21.17192,-27.35792,0.41105,216.64069,1782568256,14612493.0,13413953.469289193,79315,12261
arweave,ar,Arweave,,70,508,0.036,-28.09023,-26.01927,213.24022,386.66158,1774386086,64598643.0,50108502.0,57854,0
radix,xrd,Radix,,71,608,0.019,-26.00388,-31.58237,0.0,0.0,1757067881,12172812986.6368,9772813025.3714,133147,7591
huobi-btc,hbtc,Huobi BTC,,72,665,0.0,0.89698,-5.59955,4.86821,-8.49427,1748310358,39884.082204742,39884.082204742,962042,0
neo,neo,NEO,,73,27,0.038,-1.38671,-2.48428,-40.66217,-39.84237,1741972076,100000000.0,70530000.0,434745,116154
frax-share,fxs,Frax Share,,74,804,0.042,-27.74121,72.80037,769.11031,225.78772,1656181430,99854267.8591778,61778969.49369358,34480,0
blockstack,stx,Stacks,,75,88,0.055,-27.2272,-26.73632,27.25692,126.47946,1650531139,1352464600.0,1052561461.68777,120993,0
ecash,xec,eCash,,76,305,0.04,-16.83002,-23.29965,154.18662,0.0,1642409350,21000000000000.0,18980523423313.0,83845,5363
kucoin-shares,kcs,KuCoin Token,,77,246,1.167,-2.36554,-3.41917,103.79541,790.88902,1575741535,166429661.0,76429661.0,1511466,111745
