id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
zencash,zen,Horizen,Equihash,160,74,0.002,-23.57199,-36.18842,-26.75904,-17.27991,509472529,21000000.0,12071793.75,134480,9208
livepeer,lpt,Livepeer,Ethash,125,75,0.032,-21.06169,-20.68935,48.43278,609.92037,713815411,24918514.3779414,24918514.3779414,25985,2476
decred,dcr,Decred,Blake-256,107,76,0.027,-0.63667,8.95621,-55.28476,-41.23321,934625484,21000000.0,13770595.7202625,51371,12548
aave,aave,Aave,,60,77,0.148,-29.2089,-6.38558,-46.60309,-62.18018,2320245507,16000000.0,13514625.858775062,429266,15316
steem,steem,Steem,Delegated Proof-of-Stake,369,78,0.012,-14.75246,-17.10713,-27.42711,-15.44814,140655868,,394951699.0,15129,3957
groestlcoin,grs,Groestlcoin,Groestl,606,79,0.0,-4.78809,-31.18644,-14.67653,13.08773,51918705,105000000.0,79448198.8873662,43017,107185
osmosis,osmo,Osmosis,,53,80,0.263,-16.18564,121.38877,410.40155,0.0,2675019862,325000000.0,298080808.0,76051,0
beam,beam,BEAM,Beam Hash,674,81,0.007,-19.7182,-43.50753,-28.17758,-39.28018,40594330,262800000.0,107911840.0,30725,3637
syscoin,sys,Syscoin,SHA-256,150,82,0.028,-26.93041,24.86264,497.1987,470.89097,556511912,888000000.0,633321407.400385,132336,7338
stratis,strax,Stratis,X13,352,83,0.009,-20.98363,-23.47061,-37.53856,-33.43925,152772950,128057426.0,133928613.406014,161628,11178
beefy-finance,bifi,Beefy.Finance,,290,84,0.295,79.99082,92.62422,166.01159,89.72956,202881801,80000.0,78000.0,244892,2743
kyber-network-crystal,knc,Kyber Network Crystal,,279,85,0.02,38.73897,66.10004,35.82938,0.0,218090592,191638411.89237,102522603.24294408,207253,12344
origin-protocol,ogn,Origin Protocol,,344,86,0.025,-28.71612,-35.55896,-51.26775,4.0058,161162499,1000000000.0,418271960.0,139541,7695
steem-dollars,sbd,Steem Dollars,SHA-256,609,87,0.012,-2.1621,-9.11426,-30.45357,-1.76268,51423548,,10570531.662,113319,8239
blockstack,stx,Stacks,,75,88,0.055,-26.82071,-26.32709,27.96774,127.74452,1656642008,1352464600.0,1052561461.68777,120993,0
gxchain,gxc,GXChain,Delegated Proof-of-Stake,388,89,0.004,-23.33108,-6.9579,246.57644,163.27334,127314536,100000000.0,75000000.0,95437,27122
